Machine;Line;Type;Total;Date
Machine_01;X01_line;Production;23244;12/05/16
Machine_01;X01_line;Stop;7760;12/05/16
Machine_01;X01_line;Stop;41812;13/05/16
Machine_01;X01_line;Production;43756;13/05/16
Machine_01;X01_line;Production;49896;14/05/16
Machine_01;X01_line;Stop;38703;14/05/16
Machine_01;X01_line;Stop;25384;15/05/16
Machine_01;X01_line;Production;60951;15/05/16
Machine_01;X01_line;Stop;73328;16/05/16
Machine_01;X01_line;Production;14908;16/05/16
Machine_01;X01_line;Stop;39051;17/05/16
Machine_01;X01_line;Production;43285;17/05/16
Machine_01;X01_line;Production;58398;18/05/16
Machine_01;X01_line;Stop;30166;18/05/16
Machine_01;X01_line;Stop;60787;19/05/16
Machine_01;X01_line;Production;9733;19/05/16
Machine_01;X01_line;Stop;35706;20/05/16
Machine_01;X01_line;Production;51172;20/05/16
Machine_01;X01_line;Production;59136;21/05/16
Machine_01;X01_line;Stop;27367;21/05/16
Machine_01;X01_line;Stop;24857;22/05/16
Machine_01;X01_line;Production;60707;22/05/16
Machine_01;X01_line;Production;65656;23/05/16
Machine_01;X01_line;Stop;20797;23/05/16
Machine_01;X01_line;Production;57900;24/05/16
Machine_01;X01_line;Stop;28375;24/05/16
Machine_01;X01_line;Stop;24146;25/05/16
Machine_01;X01_line;Production;62317;25/05/16
Machine_01;X01_line;Production;55493;26/05/16
Machine_01;X01_line;Stop;33100;26/05/16
Machine_01;X01_line;Stop;23976;27/05/16
Machine_01;X01_line;Production;60735;27/05/16
Machine_01;X01_line;Stop;18446;28/05/16
Machine_01;X01_line;Production;67981;28/05/16
Machine_01;X01_line;Stop;18069;29/05/16
Machine_01;X01_line;Production;67760;29/05/16
Machine_01;X01_line;Production;58750;30/05/16
Machine_01;X01_line;Stop;29214;30/05/16
Machine_01;X01_line;Stop;15195;31/05/16
Machine_01;X01_line;Production;70721;31/05/16
Machine_01;X01_line;Stop;54310;01/06/16
Machine_01;X01_line;Production;31167;01/06/16
Machine_01;X01_line;Production;62856;02/06/16
Machine_01;X01_line;Stop;23714;02/06/16
Machine_01;X01_line;Stop;67128;03/06/16
Machine_01;X01_line;Production;45814;03/06/16
Machine_01;X01_line;Stop;70428;04/06/16
Machine_01;X01_line;Production;35487;05/06/16
Machine_01;X01_line;Stop;30825;05/06/16
Machine_01;X01_line;Production;38883;06/06/16
Machine_01;X01_line;Stop;50822;06/06/16
Machine_01;X01_line;Production;52392;07/06/16
Machine_01;X01_line;Stop;30888;07/06/16
Machine_01;X01_line;Production;57384;08/06/16
Machine_01;X01_line;Stop;28902;08/06/16
Machine_01;X01_line;Stop;92485;09/06/16
Machine_01;X01_line;Production;20730;09/06/16
Machine_01;X01_line;Stop;65644;10/06/16
Machine_01;X01_line;Production;1270;10/06/16
Machine_01;X01_line;Production;12972;11/06/16
Machine_01;X01_line;Stop;68702;11/06/16
Machine_01;X01_line;Stop;48428;12/06/16
Machine_01;X01_line;Production;35493;12/06/16
Machine_01;X01_line;Stop;31275;13/06/16
Machine_01;X01_line;Production;54891;13/06/16
Machine_01;X01_line;Production;54676;14/06/16
Machine_01;X01_line;Stop;31835;14/06/16
Machine_01;X01_line;Stop;53372;15/06/16
Machine_01;X01_line;Production;59367;15/06/16
Machine_01;X01_line;Stop;74324;16/06/16
Machine_01;X01_line;Production;5534;16/06/16
Machine_01;X01_line;Stop;54030;17/06/16
Machine_01;X01_line;Production;5846;17/06/16
Machine_01;X01_line;Production;46208;18/06/16
Machine_01;X01_line;Stop;40229;18/06/16
