Machine;Count;Timeframe
Machine_01;500;day
Machine_03;23;day
Machine_02;400;day
Machine_09;2;day
Machine_04;30;day
Machine_05;21;day
Machine_06;34;day
Machine_07;43;day
Machine_08;55;day
Machine_01;15000;month
Machine_03;690;month
Machine_02;12000;month
Machine_09;60;month
Machine_04;900;month
Machine_05;630;month
Machine_06;1020;month
Machine_07;1290;month
Machine_08;1650;month
Machine_01;180000;year
Machine_03;8280;year
Machine_02;144000;year
Machine_09;720;year
Machine_04;10800;year
Machine_05;7560;year
Machine_06;12240;year
Machine_07;15480;year
Machine_08;19800;year
