Line;Machine;Timestamp;Glossary
X01_line;Machine_01;9/20/2016 12:00:45 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:00:27 AM;REJECT COLLECTOR - FULL
X01_line;Machine_01;9/20/2016 12:01:04 AM;EXCESSIVE REJECTION -
X01_line;Machine_01;9/20/2016 12:01:13 AM;GUARD RESERVE DOOR
X01_line;Machine_01;9/20/2016 12:01:40 AM;PHOTOCELL: FEED TUBE JAM
X01_line;Machine_01;9/20/2016 12:01:41 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:02:38 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:14 AM;RECEIVER STOPPED (RD CHANNEL)
X01_line;Machine_01;9/20/2016 12:02:18 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:02:36 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:02:41 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:10 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:13 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:16 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:03:19 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:21 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:34 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:39 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:03:37 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:04:55 AM;PHOTOCELL: FEED TUBE JAM
X01_line;Machine_01;9/20/2016 12:04:55 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:05:22 AM;REJECT GUARD OPEN
X01_line;Machine_01;9/20/2016 12:05:22 AM;RECEIVER STOPPED (ST CHANNEL)
X01_line;Machine_01;9/20/2016 12:05:12 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:05:13 AM;FEED ARREST
X01_line;Machine_01;9/20/2016 12:05:21 AM;RECEIVER GUARD OPEN
X01_line;Machine_01;9/20/2016 12:05:15 AM;FEED ARREST
