Machine;Model_ID;Model_Name;Score;Execution_Date
Machine_01;Machine_01_Fault_01;ENGINE BREAK;23%;09-23-2016 00:05:29
Machine_01;Machine_01_Fault_02;JAM;32%;09-23-2016 00:05:00
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;70%;09-23-2016 00:05:29
Machine_02;Machine_02_Fault_03;ROTOR BREAK;78%;09-23-2016 00:05:08
Machine_02;Machine_02_Fault_04;HEAT PUMP;21%;09-23-2016 00:06:03
Machine_02;Machine_02_Fault_05;VACUUM;12%;09-23-2016 00:06:36
Machine_01;Machine_01_Fault_01;ENGINE BREAK;73%;09-23-2016 00:07:00
Machine_01;Machine_01_Fault_02;JAM;24%;09-23-2016 00:08:29
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;65%;09-23-2016 00:14:34
Machine_02;Machine_02_Fault_03;ROTOR BREAK;66%;09-23-2016 00:11:21
Machine_02;Machine_02_Fault_04;HEAT PUMP;17%;09-23-2016 00:09:48
Machine_02;Machine_02_Fault_05;VACUUM;89%;09-23-2016 00:15:29
Machine_01;Machine_01_Fault_01;ENGINE BREAK;14%;09-23-2016 00:18:46
Machine_01;Machine_01_Fault_02;JAM;68%;09-23-2016 00:18:27
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;94%;09-23-2016 00:49:35
Machine_02;Machine_02_Fault_03;ROTOR BREAK;58%;09-23-2016 00:25:17
Machine_02;Machine_02_Fault_04;HEAT PUMP;42%;09-23-2016 00:25:37
Machine_02;Machine_02_Fault_05;VACUUM;79%;09-23-2016 00:26:31
Machine_01;Machine_01_Fault_01;ENGINE BREAK;77%;09-23-2016 00:27:55
Machine_01;Machine_01_Fault_02;JAM;35%;09-23-2016 00:28:21
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;94%;09-23-2016 00:29:36
Machine_02;Machine_02_Fault_03;ROTOR BREAK;85%;09-23-2016 00:31:30
Machine_02;Machine_02_Fault_04;HEAT PUMP;11%;09-23-2016 00:32:13
Machine_02;Machine_02_Fault_05;VACUUM;57%;09-23-2016 00:33:42
Machine_01;Machine_01_Fault_01;ENGINE BREAK;82%;09-23-2016 00:35:04
Machine_01;Machine_01_Fault_02;JAM;14%;09-23-2016 00:37:02
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;17%;09-23-2016 00:41:49
Machine_02;Machine_02_Fault_03;ROTOR BREAK;10%;09-23-2016 00:40:29
Machine_02;Machine_02_Fault_04;HEAT PUMP;35%;09-23-2016 00:44:46
Machine_02;Machine_02_Fault_05;VACUUM;80%;09-23-2016 00:46:10
Machine_01;Machine_01_Fault_01;ENGINE BREAK;38%;09-23-2016 00:49:14
Machine_01;Machine_01_Fault_02;JAM;4%;09-23-2016 00:48:59
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;96%;09-23-2016 00:48:31
Machine_02;Machine_02_Fault_03;ROTOR BREAK;47%;09-23-2016 01:07:16
Machine_02;Machine_02_Fault_04;HEAT PUMP;21%;09-23-2016 01:08:03
Machine_02;Machine_02_Fault_05;VACUUM;62%;09-23-2016 01:09:35
Machine_01;Machine_01_Fault_01;ENGINE BREAK;7%;09-23-2016 01:11:55
Machine_01;Machine_01_Fault_02;JAM;26%;09-23-2016 01:12:23
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;3%;09-23-2016 01:13:15
Machine_02;Machine_02_Fault_03;ROTOR BREAK;42%;09-23-2016 01:14:49
Machine_02;Machine_02_Fault_04;HEAT PUMP;91%;09-23-2016 01:15:44
Machine_02;Machine_02_Fault_05;VACUUM;48%;09-23-2016 01:16:11
Machine_01;Machine_01_Fault_01;ENGINE BREAK;24%;09-23-2016 01:16:44
Machine_01;Machine_01_Fault_02;JAM;19%;09-23-2016 01:19:51
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;92%;09-23-2016 01:03:57
Machine_02;Machine_02_Fault_03;ROTOR BREAK;14%;09-23-2016 01:02:55
Machine_02;Machine_02_Fault_04;HEAT PUMP;14%;09-23-2016 00:58:49
Machine_02;Machine_02_Fault_05;VACUUM;53%;09-23-2016 01:03:57
Machine_01;Machine_01_Fault_01;ENGINE BREAK;64%;09-23-2016 00:55:05
Machine_01;Machine_01_Fault_02;JAM;49%;09-23-2016 00:53:33
Machine_01;Machine_01_Fault_03;HIGH POWER ABSORPTION;43%;09-23-2016 00:52:51
Machine_02;Machine_02_Fault_03;ROTOR BREAK;90%;09-23-2016 00:51:28
